Unique.ID,Radar Stations,X,Y,X.Lon,Y.Lat,X.75.N,Y.75.N,X.75.S,Y.75.S,X.75.E,Y.75.E,X.75.W,Y.75.W,X.150.N,Y.150.N,X.150.S,Y.150.S,X.150.E,Y.150.E,X.150.W,Y.150.W
1,KABR,-241786.663,2502901.623,-99.0931236749796,45.478769693637,-241786.663,2577901.623,-241786.663,2427901.623,-166786.663,2502901.623,-316786.663,2502901.623,-241786.663,2652901.623,-241786.663,2352901.623,-91786.663,2502901.623,-391786.663,2502901.623
2,KABR,-179567.716,2491050.395,-98.2938747681943,45.3880598727097,-179567.716,2566050.395,-179567.716,2416050.395,-104567.716,2491050.395,-254567.716,2491050.395,-179567.716,2641050.395,-179567.716,2341050.395,-29567.716,2491050.395,-329567.716,2491050.395
3,KABR,-164753.681,2428831.448,-98.0872442061557,44.8319979656006,-164753.681,2503831.448,-164753.681,2353831.448,-89753.681,2428831.448,-239753.681,2428831.448,-164753.681,2578831.448,-164753.681,2278831.448,-14753.681,2428831.448,-314753.681,2428831.448
4,KABR,-247712.277,2485124.781,-99.1613111315885,45.3171961946598,-247712.277,2560124.781,-247712.277,2410124.781,-172712.277,2485124.781,-322712.277,2485124.781,-247712.277,2635124.781,-247712.277,2335124.781,-97712.277,2485124.781,-397712.277,2485124.781
5,KABR,-176604.909,2440682.676,-98.240871936056,44.9360183956016,-176604.909,2515682.676,-176604.909,2365682.676,-101604.909,2440682.676,-251604.909,2440682.676,-176604.909,2590682.676,-176604.909,2290682.676,-26604.909,2440682.676,-326604.909,2440682.676
6,KABR,-215121.4,2574008.991,-98.7787965140312,46.1261868342419,-215121.4,2649008.991,-215121.4,2499008.991,-140121.4,2574008.991,-290121.4,2574008.991,-215121.4,2724008.991,-215121.4,2424008.991,-65121.4,2574008.991,-365121.4,2574008.991
7,KABR,-221047.014,2452533.904,-98.8089292462289,45.0318689698667,-221047.014,2527533.904,-221047.014,2377533.904,-146047.014,2452533.904,-296047.014,2452533.904,-221047.014,2602533.904,-221047.014,2302533.904,-71047.014,2452533.904,-371047.014,2452533.904
8,KABR,-212158.593,2425868.641,-98.6864661385893,44.7946986012588,-212158.593,2500868.641,-212158.593,2350868.641,-137158.593,2425868.641,-287158.593,2425868.641,-212158.593,2575868.641,-212158.593,2275868.641,-62158.593,2425868.641,-362158.593,2425868.641
9,KABR,-250675.084,2532529.693,-99.2195821066973,45.7426225155391,-250675.084,2607529.693,-250675.084,2457529.693,-175675.084,2532529.693,-325675.084,2532529.693,-250675.084,2682529.693,-250675.084,2382529.693,-100675.084,2532529.693,-400675.084,2532529.693
10,KABR,-144014.032,2502901.623,-97.8427597308011,45.5016125325753,-144014.032,2577901.623,-144014.032,2427901.623,-69014.032,2502901.623,-219014.032,2502901.623,-144014.032,2652901.623,-144014.032,2352901.623,5985.968,2502901.623,-294014.032,2502901.623
11,KABR,-155865.26,2544380.921,-98.0055606890319,45.8727705374395,-155865.26,2619380.921,-155865.26,2469380.921,-80865.26,2544380.921,-230865.26,2544380.921,-155865.26,2694380.921,-155865.26,2394380.921,-5865.26,2544380.921,-305865.26,2544380.921
